3201012,liquidificador,
3201013,ventilador,
3201021,fogão,
3202000,"TV, som e informática",
3202001,televisor,
3202003,aparelho de som,
3202005,aparelho de DVD,
3202013,antena,
3202028,microcomputador,
3300000,Consertos e manutenção,
3301000,Consertos e manutenção,
3301002,conserto de refrigerador,
3301006,conserto de televisor,
3301009,conserto de aparelho de som,
3301022,reforma de estofado,
4000000,Vestuário,
4100000,Roupas,
4101000,Roupa masculina,
4101002,calça comprida masculina,
4101006,short e bermuda masculina,
4101008,cueca,
4101009,camisa/camiseta masculina,
4102000,roupa feminina,
4102002,calça comprida feminina,
4102004,saia,
4102005,vestido,
4102008,blusa,
4102010,lingerie,
4102013,bermuda e short feminino,
4103000,Roupa infantil,
4103002,calça comprida infantil,
4103007,vestido infantil,
4103008,bermuda e short infantil,
4103011,camisa/camiseta infantil,
4103031,conjunto infantil,
4200000,Calçados e acessórios,
4201000,Calçados e acessórios,
4201002,sapato masculino,
4201003,sapato feminino,
4201004,sapato infantil,
4201006,sandália/chinelo masculino,
4201007,sandália/chinelo feminino,
4201008,sandália/chinelo infantil,
4201015,bolsa,
4201063,tênis,
4300000,Jóias e bijuterias,
4301000,Jóias e bijuterias,
4301001,bijuteria,
4301002,jóia ,
4301004,relógio de pulso,
4400000,Tecidos e armarinho,
4401000,Tecidos e armarinho,
4401001,tecido ,
4401002,artigos de armarinho,
5000000,Transportes,
5100000,Transportes,
5101000,Transporte público,
5101001,ônibus urbano,
5101002,táxi,
5101006,ônibus intermunicipal,
5101007,ônibus intererstadual,
5101010,passagem aérea,
5102000,Veículo próprio,
5102001,automóvel novo,
5102004,emplacamento e licença,
5102007,óleo lubrificante,
5102009,acessórios e peças,
5102010,pneu,
5102011,conserto de automóvel,
5102020,automóvel usado,
5102053,motocicleta,
5104000,Combustíveis (veículos),
5104001,gasolina,
5104002,etanol,
5104005,gás veicular,
6000000,Saúde e cuidados pessoais,
6100000,Produtos farmacêuticos e óticos,
6101000,Produtos farmacêuticos  ,
6101001,anti-infeccioso e antibiótico,
6101002,analgésico e antitérmico,
6101003,anti-inflamatório e antirreumático,
6101004,antigripal e antitussígeno,
6101006,dermatológico,
6101007,antialérgico e broncodilatador,
6101009,gastroprotetor,
6101010,vitamina e fortificante,
6101011,hormônio,
6101013,psicotrópico e anorexígeno,
6101014,hipotensor e hipocolesterolêmico,
6101051,oftalmológico,
6102000,Produtos óticos,
6102003,óculos sem grau,
6102011,lentes de óculos e de contato,
6200000,Serviços de saúde,
6201000,Serviços médicos e dentários,
6201002,médico,
6201003,dentista,
6201005,aparelho ortodôntico,
6202000,Serviços laboratoriais e hospitalares,
6202003,exame de laboratório,
6202004,hospitalização e cirurgia,
6202006,exame de imagem,
6203000,Plano de saúde,
6203001,plano de saúde,
6300000,Cuidados pessoais,
6301000,Higiene pessoal,
6301001,produto para cabelo,
6301002,fralda descartável,
6301006,produto para pele,
6301007,produto para higiene bucal,
6301010,produto para unha,
6301011,perfume,
6301014,desodorante,
6301015,absorvente higiênico,
6301016,sabonete,
6301017,papel higiênico,
6301020,artigos de maquiagem,
7000000,Despesas pessoais,
7100000,Serviços pessoais,
7101000,Serviços pessoais,
7101001,costureira,
7101005,manicure,
7101009,cabelereiro,
7101010,empregado doméstico,
7101034,cartório,
7101076,serviço bancário,
7200000,"Recreação, fumo e fotografia",
7201000,Recreação  ,
7201001,cinema,
7201002,CD e DVD,
7201018,tratamento de animais,
7201019,bicicleta,
7201020,alimento para animais,
7201023,brinquedo,
7201052,locação de DVD,
7201054,festas diversas,
7201063,jogos de azar,
7201090,hotel,
7202000,Fumo,
7202041,cigarro,
7203000,Fotografia e filmagem,
7203001,máquina fotográfica,
7203003,revelação e cópia,
8000000,Educação,
8100000,"Cursos, leitura e papelaria",
8101000,Cursos regulares,
8101001,creche,
8101002,educação infantil,
8101003,ensino fundamental,
8101004,ensino médio,
8101005,ensino superior,
8101006,pós-graduação,
8102000,Leitura,
8102004,revista,
8102005,livro,
8103000,Papelaria,
8103001,caderno,
8103002,fotocópia,
8103014,artigos de papelaria,
8104000,Cursos diversos,
8104001,curso preparatório,
8104004,curso de informática,
8104006,atividades físicas,
9000000,Comunicação,
9100000,Comunicação,
9101000,Comunicação,
9101002,telefone fixo,
9101008,telefone celular,
9101018,acesso à internet,
9101019,aparelho telefônico,
9101021,telefone com internet - pacote,
